Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"NFE2L2","NFE2 Like BZIP Transcription Factor 2","Protein Coding","Q16236","63","GC02M177227","40.0678176879883","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L2"
"CASP8","Caspase 8","Protein Coding","Q14790","65","GC02P201233","39.7866592407227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
"PRKN","Parkin RBR E3 Ubiquitin Protein Ligase","Protein Coding","O60260","62","GC06M161348","39.4517402648926","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKN"
"HRAS","HRas Proto-Oncogene, GTPase","Protein Coding","P01112","65","GC11M013218","38.8185729980469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRAS"
"ROS1","ROS Proto-Oncogene 1, Receptor Tyrosine Kinase","Protein Coding","P08922","60","GC06M117287","38.7784996032715","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROS1"
"TERT","Telomerase Reverse Transcriptase","Protein Coding","O14746","64","GC05M001253","38.7514190673828","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERT"
"H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","","36","GC11M001995","38.5318832397461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19"
"CCND1","Cyclin D1","Protein Coding","P24385","66","GC11P069641","37.8057289123535","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1"
"MLH1","MutL Homolog 1","Protein Coding","P40692","62","GC03P036993","37.6491813659668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLH1"
"MIR21","MicroRNA 21","RNA Gene","","33","GC17P134223","37.0324440002441","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21"
"SMAD4","SMAD Family Member 4","Protein Coding","Q13485","66","GC18P051028","36.0130043029785","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD4"
"MEG3","Maternally Expressed 3","RNA Gene","","36","GC14P119042","35.9671440124512","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEG3"
"MAP2K1","Mitogen-Activated Protein Kinase Kinase 1","Protein Coding","Q02750","67","GC15P066386","35.8733673095703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K1"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","P25445","64","GC10P116129","35.3978080749512","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"GAS5","Growth Arrest Specific 5","RNA Gene","","32","GC01M173947","35.1351509094238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAS5"
"ATM","ATM Serine/Threonine Kinase","Protein Coding","Q13315","66","GC11P108223","34.7214164733887","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM"
"NRAS","NRAS Proto-Oncogene, GTPase","Protein Coding","P01111","63","GC01M114704","34.6408042907715","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRAS"
"FGFR2","Fibroblast Growth Factor Receptor 2","Protein Coding","P21802","68","GC10M121478","34.4426383972168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR2"
"FBXW7","F-Box And WD Repeat Domain Containing 7","Protein Coding","Q969H0","58","GC04M152321","34.1668357849121","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXW7"
"FASLG","Fas Ligand","Protein Coding","P48023","61","GC01P172659","34.0666389465332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASLG"
"RASSF1","Ras Association Domain Family Member 1","Protein Coding","Q9NS23","55","GC03M050329","34.0256500244141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RASSF1"
"RARB","Retinoic Acid Receptor Beta","Protein Coding","P10826","62","GC03P025081","33.9657554626465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARB"
"MALAT1","Metastasis Associated Lung Adenocarcinoma Transcript 1","RNA Gene","","33","GC11P098972","33.8419494628906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MALAT1"
"CYP2A6","Cytochrome P450 Family 2 Subfamily A Member 6","Protein Coding","P11509","57","GC19M040843","33.5297355651855","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2A6"
"FGFR3","Fibroblast Growth Factor Receptor 3","Protein Coding","P22607","68","GC04P005899","33.3425407409668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR3"
"RET","Ret Proto-Oncogene","Protein Coding","P07949","67","GC10P045251","33.1491470336914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RET"
"RAF1","Raf-1 Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","P04049","67","GC03M012583","33.1182174682617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAF1"
"APC","APC Regulator Of WNT Signaling Pathway","Protein Coding","P25054","62","GC05P112707","33.0975074768066","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APC"
"BRCA1","BRCA1 DNA Repair Associated","Protein Coding","P38398","63","GC17M043044","32.5834846496582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1"
"FGFR1","Fibroblast Growth Factor Receptor 1","Protein Coding","P11362","68","GC08M038400","32.5619354248047","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR1"
"CHEK2","Checkpoint Kinase 2","Protein Coding","O96017","67","GC22M028687","32.4926223754883","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHEK2"
"MDM2","MDM2 Proto-Oncogene","Protein Coding","Q00987","66","GC12P068808","32.1590270996094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDM2"
"BRCA2","BRCA2 DNA Repair Associated","Protein Coding","P51587","60","GC13P032315","32.0079078674316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA2"
"CCAT1","Colon Cancer Associated Transcript 1","RNA Gene","","22","GC08M127207","32.0022773742676","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCAT1"
"KIT","KIT Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P10721","66","GC04P054657","31.7689170837402","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIT"
"HOTAIR","HOX Transcript Antisense RNA","RNA Gene","","31","GC12M053962","31.6548614501953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOTAIR"
"SLC22A18","Solute Carrier Family 22 Member 18","Protein Coding","Q96BI1","54","GC11P002899","31.6259746551514","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A18"
"IDH1","Isocitrate Dehydrogenase (NADP(+)) 1","Protein Coding","O75874","65","GC02M208236","31.4308052062988","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDH1"
"MIR125A","MicroRNA 125a","RNA Gene","","30","GC19P133539","31.4279880523682","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125A"
"ERBB3","Erb-B2 Receptor Tyrosine Kinase 3","Protein Coding","P21860","67","GC12P065362","30.8087997436523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB3"
"GNAS","GNAS Complex Locus","Protein Coding","P84996","62","GC20P058839","30.5167274475098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAS"
"DDR2","Discoidin Domain Receptor Tyrosine Kinase 2","Protein Coding","Q16832","63","GC01P170843","30.5094051361084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDR2"
"MIRLET7C","MicroRNA Let-7c","RNA Gene","","31","GC21P019897","30.486421585083","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7C"
"MIR126","MicroRNA 126","RNA Gene","","31","GC09P136670","30.4808464050293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR126"
"KEAP1","Kelch Like ECH Associated Protein 1","Protein Coding","Q14145","61","GC19M010486","30.3599548339844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KEAP1"
"MIR98","MicroRNA 98","RNA Gene","","27","GC0XM053894","30.1849975585938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR98"
"MIR155","MicroRNA 155","RNA Gene","","30","GC21P025573","30.1796112060547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR155"
"MIR17","MicroRNA 17","RNA Gene","","28","GC13P091350","30.1090259552002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR17"
"MIR145","MicroRNA 145","RNA Gene","","32","GC05P149430","29.9516372680664","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR145"
"HOTTIP","HOXA Distal Transcript Antisense RNA","RNA Gene","","30","GC07P027198","29.9109039306641","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOTTIP"
"PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","P37231","65","GC03P012287","29.8605327606201","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG"
"KCNQ1OT1","KCNQ1 Opposite Strand/Antisense Transcript 1","RNA Gene","","36","GC11M013323","29.8173198699951","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNQ1OT1"
"MIR205","MicroRNA 205","RNA Gene","","29","GC01P209432","29.7835426330566","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR205"
"LNCR1","Lung Cancer 1","Genetic Locus","","6","GC06U900729","29.6646957397461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LNCR1"
"MIR30A","MicroRNA 30a","RNA Gene","","28","GC06M071403","29.6492385864258","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30A"
"CDK4","Cyclin Dependent Kinase 4","Protein Coding","P11802","66","GC12M059932","29.6196231842041","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK4"
"DLEC1","DLEC1 Cilia And Flagella Associated Protein","Protein Coding","Q9Y238","48","GC03P038038","29.4058609008789","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLEC1"
"MIR182","MicroRNA 182","RNA Gene","","31","GC07M129770","28.9745483398438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR182"
"MIR140","MicroRNA 140","RNA Gene","","33","GC16P106041","28.9540271759033","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR140"
"MIR143","MicroRNA 143","RNA Gene","","33","GC05P155623","28.9314308166504","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR143"
"MXRA5","Matrix Remodeling Associated 5","Protein Coding","Q9NR99","44","GC0XM003308","28.8709907531738","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MXRA5"
"MIAT","Myocardial Infarction Associated Transcript","RNA Gene","","34","GC22P026646","28.8660869598389","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIAT"
"MIR146A","MicroRNA 146a","RNA Gene","","31","GC05P160485","28.7949142456055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146A"
"ACTA2","Actin Alpha 2, Smooth Muscle","Protein Coding","P62736","61","GC10M088935","28.7835922241211","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTA2"
"AFAP1-AS1","AFAP1 Antisense RNA 1","RNA Gene","","26","GC04P008385","28.7830009460449","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AFAP1-AS1"
"MIR221","MicroRNA 221","RNA Gene","","30","GC0XM045746","28.7038764953613","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR221"
"MUC16","Mucin 16, Cell Surface Associated","Protein Coding","Q8WXI7","51","GC19M008848","28.6115169525146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC16"
"MIR146B","MicroRNA 146b","RNA Gene","","30","GC10P102436","28.5971603393555","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146B"
"KMT2D","Lysine Methyltransferase 2D","Protein Coding","O14686","56","GC12M049018","28.5872230529785","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KMT2D"
"NOTCH1","Notch Receptor 1","Protein Coding","P46531","65","GC09M138976","28.458740234375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH1"
"FENDRR","FOXF1 Adjacent Non-Coding Developmental Regulatory RNA","RNA Gene","","27","GC16M086511","28.3878746032715","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FENDRR"
"DGCR5","DiGeorge Syndrome Critical Region Gene 5","RNA Gene","","29","GC22P080816","28.3427562713623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGCR5"
"PPP2R1A","Protein Phosphatase 2 Scaffold Subunit Aalpha","Protein Coding","P30153","60","GC19P133553","28.3375778198242","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP2R1A"
"BANCR","BRAF-Activated Non-Protein Coding RNA","RNA Gene","","22","GC09M069296","28.283842086792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BANCR"
"MIR200B","MicroRNA 200b","RNA Gene","","30","GC01P001167","28.266674041748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200B"
"MIRLET7B","MicroRNA Let-7b","RNA Gene","","29","GC22P081742","28.2498626708984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7B"
"PPP2R1B","Protein Phosphatase 2 Scaffold Subunit Abeta","Protein Coding","P30154","59","GC11M133661","28.2358303070068","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP2R1B"
"BAP1","BRCA1 Associated Deubiquitinase 1","Protein Coding","Q92560","59","GC03M052401","28.2159233093262","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAP1"
"MIR210","MicroRNA 210","RNA Gene","","30","GC11M013222","28.1226844787598","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR210"
"SOX2","SRY-Box Transcription Factor 2","Protein Coding","P48431","58","GC03P181711","28.0596771240234","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX2"
"ESR1","Estrogen Receptor 1","Protein Coding","P03372","66","GC06P151656","27.9940509796143","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1"
"MIR338","MicroRNA 338","RNA Gene","","27","GC17M090574","27.9652824401855","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR338"
"MIR130A","MicroRNA 130a","RNA Gene","","30","GC11P057641","27.9651107788086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR130A"
"MIR216A","MicroRNA 216a","RNA Gene","","29","GC02M055988","27.8454208374023","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR216A"
"MIR200C","MicroRNA 200c","RNA Gene","","30","GC12P046792","27.8413639068604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200C"
"MIR31","MicroRNA 31","RNA Gene","","29","GC09M022239","27.8134727478027","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR31"
"IRF1","Interferon Regulatory Factor 1","Protein Coding","P10914","60","GC05M132440","27.7724323272705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF1"
"SMARCA4","SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily A, Member 4","Protein Coding","P51532","64","GC19P132300","27.762809753418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCA4"
"PIK3CG","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Gamma","Protein Coding","P48736","62","GC07P106865","27.7307319641113","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CG"
"LNCR3","Lung Cancer Susceptibility 3","Genetic Locus","","4","GC05U901116","27.709451675415","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LNCR3"
"MIR195","MicroRNA 195","RNA Gene","","28","GC17M088262","27.6623153686523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR195"
"MIRLET7G","MicroRNA Let-7g","RNA Gene","","28","GC03M052268","27.646598815918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7G"
"ROCK1","Rho Associated Coiled-Coil Containing Protein Kinase 1","Protein Coding","Q13464","62","GC18M036048","27.6146430969238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROCK1"
"MIR183","MicroRNA 183","RNA Gene","","27","GC07M129892","27.5528945922852","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR183"
"MIR26A1","MicroRNA 26a-1","RNA Gene","","30","GC03P037969","27.4748935699463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR26A1"
"MIR133B","MicroRNA 133b","RNA Gene","","31","GC06P052148","27.4585647583008","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR133B"
"NTRK1","Neurotrophic Receptor Tyrosine Kinase 1","Protein Coding","P04629","62","GC01P156815","27.4294853210449","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK1"
"MIR150","MicroRNA 150","RNA Gene","","30","GC19M049500","27.4138317108154","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR150"
"MIRLET7D","MicroRNA Let-7d","RNA Gene","","31","GC09P094178","27.3824615478516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7D"
"MIR18A","MicroRNA 18a","RNA Gene","","27","GC13P091719","27.3581981658936","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR18A"
"NRG1","Neuregulin 1","Protein Coding","Q02297","61","GC08P031639","27.3376216888428","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRG1"
"CDKN2B-AS1","CDKN2B Antisense RNA 1","RNA Gene","","32","GC09P021994","27.3353481292725","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B-AS1"
"NTRK2","Neurotrophic Receptor Tyrosine Kinase 2","Protein Coding","Q16620","66","GC09P084668","27.302282333374","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK2"
"MIR335","MicroRNA 335","RNA Gene","","29","GC07P130496","27.219820022583","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR335"
"MIR199A1","MicroRNA 199a-1","RNA Gene","","29","GC19M010817","27.1996040344238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR199A1"
"MIR124-1","MicroRNA 124-1","RNA Gene","","29","GC08M009903","27.1892395019531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR124-1"
"U2AF1","U2 Small Nuclear RNA Auxiliary Factor 1","Protein Coding","Q01081","56","GC21M043092","27.0805263519287","https://www.genecards.org/cgi-bin/carddisp.pl?gene=U2AF1"
"MIR451A","MicroRNA 451a","RNA Gene","","26","GC17M028861","27.063102722168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR451A"
"MIR19A","MicroRNA 19a","RNA Gene","","29","GC13P091713","27.0371379852295","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR19A"
"CASC2","Cancer Susceptibility 2","RNA Gene","Q8IU53","34","GC10P119457","27.0183162689209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASC2"
"MIR29C","MicroRNA 29c","RNA Gene","","27","GC01M207838","26.9678916931152","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29C"
"SOX2-OT","SOX2 Overlapping Transcript","RNA Gene","","33","GC03P180989","26.9148807525635","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX2-OT"
"MIR93","MicroRNA 93","RNA Gene","","30","GC07M106066","26.912784576416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR93"
"CHEK1","Checkpoint Kinase 1","Protein Coding","O14757","65","GC11P125625","26.8926620483398","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHEK1"
"MIR20A","MicroRNA 20a","RNA Gene","","29","GC13P091717","26.8854312896729","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR20A"
"MIR29A","MicroRNA 29a","RNA Gene","","30","GC07M130876","26.8764362335205","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29A"
"MIR204","MicroRNA 204","RNA Gene","","31","GC09M070809","26.8455467224121","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR204"
"EPHA5","EPH Receptor A5","Protein Coding","P54756","58","GC04M065319","26.8250999450684","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHA5"
"MIR497","MicroRNA 497","RNA Gene","","27","GC17M088263","26.8018226623535","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR497"
"CCAT2","Colon Cancer Associated Transcript 2","RNA Gene","","21","GC08P127400","26.800537109375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCAT2"
"UCA1","Urothelial Cancer Associated 1","RNA Gene","","30","GC19P141717","26.7663650512695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCA1"
"SFTPA2","Surfactant Protein A2","Protein Coding","Q8IWL1","50","GC10M084114","26.7426223754883","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTPA2"
"BCYRN1","Brain Cytoplasmic RNA 1","RNA Gene","","27","GC02P047253","26.7068576812744","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCYRN1"
"NF1","Neurofibromin 1","Protein Coding","P21359","60","GC17P031094","26.7050495147705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF1"
"MIR212","MicroRNA 212","RNA Gene","","30","GC17M002050","26.6123027801514","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR212"
"RIOX2","Ribosomal Oxygenase 2","Protein Coding","Q8IUF8","49","GC03M097942","26.5962009429932","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIOX2"
"PALB2","Partner And Localizer Of BRCA2","Protein Coding","Q86YC2","56","GC16M023603","26.5805397033691","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PALB2"
"MIR214","MicroRNA 214","RNA Gene","","31","GC01M172234","26.561429977417","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR214"
"LINC00473","Long Intergenic Non-Protein Coding RNA 473","RNA Gene","A8K010","30","GC06M165328","26.530445098877","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00473"
"MIR101-1","MicroRNA 101-1","RNA Gene","","28","GC01M065058","26.5026950836182","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR101-1"
"ERBB4","Erb-B2 Receptor Tyrosine Kinase 4","Protein Coding","Q15303","67","GC02M211375","26.4312877655029","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB4"
"MIR139","MicroRNA 139","RNA Gene","","30","GC11M072615","26.4143257141113","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR139"
"MIR200A","MicroRNA 200a","RNA Gene","","29","GC01P059855","26.3974895477295","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200A"
"MIR141","MicroRNA 141","RNA Gene","","30","GC12P046793","26.3974800109863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR141"
"MIR148A","MicroRNA 148a","RNA Gene","","29","GC07M025950","26.3695735931396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR148A"
"MIR22","MicroRNA 22","RNA Gene","","31","GC17M001713","26.355281829834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR22"
"PDGFRA","Platelet Derived Growth Factor Receptor Alpha","Protein Coding","P16234","66","GC04P054229","26.352237701416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRA"
"MIR192","MicroRNA 192","RNA Gene","","30","GC11M064891","26.3433856964111","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR192"
"AXL","AXL Receptor Tyrosine Kinase","Protein Coding","P30530","64","GC19P041219","26.3397827148438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AXL"
"MIR33A","MicroRNA 33a","RNA Gene","","28","GC22P041900","26.2809524536133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR33A"
"MIR106A","MicroRNA 106a","RNA Gene","","27","GC0XM134526","26.2620964050293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR106A"
"MIR4435-2HG","MIR4435-2 Host Gene","RNA Gene","","25","GC02M113363","26.173885345459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4435-2HG"
"LRP1B","LDL Receptor Related Protein 1B","Protein Coding","Q9NZR2","52","GC02M140231","26.1410427093506","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP1B"
"MIR30E","MicroRNA 30e","RNA Gene","","31","GC01P040754","26.0929470062256","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30E"
"ATR","ATR Serine/Threonine Kinase","Protein Coding","Q13535","66","GC03M142449","26.0831966400146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATR"
"MIR224","MicroRNA 224","RNA Gene","","26","GC0XM151958","26.0594806671143","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR224"
